"Category","Entry","Speaker"
"Act5_Scene1_Graveyard","Is she to be buried in Christian burial that wilfully seeks her own salvation?","First Clown"
"Act5_Scene1_Graveyard","I tell thee she is; and therefore make her grave straight: the crowner hath sat on her and finds it Christian burial.","Second Clown"
"Act5_Scene1_Graveyard","How can that be unless she drowned herself in her own defence?","First Clown"
"Act5_Scene1_Graveyard","Why 'tis found so.","Second Clown"
"Act5_Scene1_Graveyard","It must be se offendendo; it cannot be else. For here lies the point: if I drown myself wittingly it argues an act: and an act hath three branches—it is to act to do to perform: argal she drowned herself wittingly.","First Clown"
"Act5_Scene1_Graveyard","Nay but hear you Goodman Delver—","Second Clown"
"Act5_Scene1_Graveyard","Give me leave. Here lies the water; good: here stands the man; good: if the man go to this water and drown himself, good: or if he come to the water and drown himself, good: but if the water come to him and drown him he drowns not himself: argal he that is not guilty of his own death shortens not his own life.","First Clown"
"Act5_Scene1_Graveyard","But is this law?","Second Clown"
"Act5_Scene1_Graveyard","Ay marry is't—crowner's quest law.","First Clown"
"Act5_Scene1_Graveyard","Will you ha' the truth on't? If this had not been a gentlewoman she should have been buried out o' Christian burial.","Second Clown"
"Act5_Scene1_Graveyard","Why there thou say'st: and the more pity that great folk should have countenance in this world to drown or hang themselves more than their even Christian. Come, my spade.","First Clown"
"Act5_Scene1_Graveyard","Go to.","Second Clown"
"Act5_Scene1_Graveyard","What is he that builds stronger than either the mason the shipwright or the carpenter?","First Clown"
"Act5_Scene1_Graveyard","The gallows-maker; for that frame outlives a thousand tenants.","Second Clown"
"Act5_Scene1_Graveyard","I like thy wit well in good faith: the gallows does well; but how does it well? it does well to those that do ill: now thou dost ill to say the gallows is built stronger than the church: argal the gallows may do well to thee.","First Clown"
"Act1_Scene3_Courtyard","Who builds stronger than a mason a shipwright or a carpenter?","Second Clown"
"Act1_Scene3_Courtyard","Ay tell me that and unyoke.","First Clown"
"Act1_Scene3_Courtyard","Marry now I can tell.","Second Clown"
"Act1_Scene3_Courtyard","To't.","First Clown"
"Act1_Scene3_Courtyard","Mass I cannot tell.","Second Clown"
"Act1_Scene3_Courtyard","Cudgel thy brains no more about it for your dull ass will not mend his pace with beating; and when you are asked this question next say 'a grave-maker:' the houses that he makes last till doomsday.","First Clown"
"Act1_Scene3_Courtyard","Go get thee to Yaughan; fetch me a stoup of liquor.","Second Clown"
"Act1_Scene3_Courtyard","In youth when I did love did love methought it was very sweet; To contract O the time for ah my behove methought there was nothing meet.","First Clown"
"Act1_Scene3_Courtyard","Has this fellow no feeling of his business that he sings at grave-making?","Hamlet"
"Act1_Scene3_Courtyard","Custom hath made it in him a property of easiness.","Horatio"
"Act1_Scene3_Courtyard","'Tis e'en so: the hand of little employment hath the daintier sense.","Hamlet"
"Act1_Scene3_Courtyard","But age with his stealing steps hath clawed me in his clutch; And hath shipped me intil the land as if I had never been such.","First Clown"
"Act2_Scene2_Castle_Corridor","That skull had a tongue in it and could sing once: how the knave jowls it to the ground as if it were Cain's jaw-bone that did the first murder!","Hamlet"
"Act2_Scene2_Castle_Corridor","It might be the pate of a politician which this ass now o'erreaches; one that would circumvent God might it not?","Hamlet"
"Act2_Scene2_Castle_Corridor","It might my lord.","Horatio"
"Act2_Scene2_Castle_Corridor","Or of a courtier which could say 'Good morrow sweet lord! How dost thou sweet lord?' This might be my lord such-a-one that praised my lord such-a-one's horse when he meant to beg it—might it not?","Hamlet"
"Act2_Scene2_Castle_Corridor","Ay my lord.","Horatio"
"Act2_Scene2_Castle_Corridor","Why e'en so: and now my Lady Worm's chapless and knocked about the mazard with a sexton's spade: here's fine revolution an we had the trick to see't.","Hamlet"
"Act2_Scene2_Castle_Corridor","Did these bones cost no more the breeding but to play at loggats with 'em? mine ache to think on't.","Hamlet"
"Act2_Scene2_Castle_Corridor","A pick-axe and a spade a spade; For and a shrouding sheet: O a pit of clay for to be made For such a guest is meet.","First Clown"
"Act2_Scene2_Castle_Corridor","There's another: why may not that be the skull of a lawyer? Where be his quiddits now his quillets his cases his tenures and his tricks?","Hamlet"
"Act2_Scene2_Castle_Corridor","What's that his honour?","Horatio"
"Act2_Scene2_Castle_Corridor","Is not this something more than fantasy? Think on that.","Hamlet"
"Act2_Scene2_Castle_Corridor","Here lies the water; good: here stands the man; good: if the man go to this water and drown himself—","First Clown"
"Act3_Scene1_Prince_Leads","This doth well for these—but what of this man's picture? Look you.","Hamlet"
"Act3_Scene1_Prince_Leads","The very conveyances of his lands will hardly lie in this box; and must the inheritor himself have no more, ha?","Hamlet"
"Act3_Scene1_Prince_Leads","Not a jot more my lord.","Horatio"
"Act3_Scene1_Prince_Leads","Is not parchment made of sheep-skins?","Hamlet"
"Act3_Scene1_Prince_Leads","Ay my lord And of calves-skins too.","Horatio"
"Act3_Scene1_Prince_Leads","Those are sheep and calves which seek out assurance in that. I will speak to this fellow.—Whose grave's this sirrah?","Hamlet"
"Act3_Scene1_Prince_Leads","Mine sir.","First Clown"
"Act3_Scene1_Prince_Leads","I think it be thine indeed; for thou liest in't.","Hamlet"
"Act3_Scene1_Prince_Leads","You lie out on't sir and therefore it is not yours: for my part I do not lie in't.","First Clown"
"Act3_Scene1_Prince_Leads","'Tis a quick lie sir; 'twill away gain from me to you.","Hamlet"
"Act3_Scene1_Prince_Leads","What man dost thou dig it for?","Hamlet"
"Act3_Scene1_Prince_Leads","For no man madam.","First Clown"
"Act4_Scene4_Cliffside","What woman then?","Hamlet"
"Act4_Scene4_Cliffside","For none neither.","First Clown"
"Act4_Scene4_Cliffside","Who is to be buried in't?","Hamlet"
"Act4_Scene4_Cliffside","One that was a woman sir; but rest her soul she's dead.","First Clown"
"Act4_Scene4_Cliffside","How absolute the knave is! we must speak by the card or equivocation will undo us.","Hamlet"
"Act4_Scene4_Cliffside","By the Lord Horatio these three years I have taken note of it; the age is grown so picked that the toe of the peasant comes so near the heel of the courtier he galls his kibe.","Hamlet"
"Act4_Scene4_Cliffside","How long hast thou been a grave-maker?","Hamlet"
"Act4_Scene4_Cliffside","Of all the days i' the year I came to't that day that our last king Hamlet o'ercame Fortinbras.","First Clown"
"Act4_Scene4_Cliffside","How long is that since?","Hamlet"
"Act4_Scene4_Cliffside","Cannot you tell that? every fool can tell that: it was the very day that young Hamlet was born—","First Clown"
